ExpressionSampleName,Sample,Replicate
6-7 internode,6-7 internode_28-30 Days,6-7 internode_28-30 Days_1
6-7 internode,6-7 internode_28-30 Days,6-7 internode_28-30 Days_2
6-7 internode,6-7 internode_28-30 Days,6-7 internode_28-30 Days_3
6-7 internode,6-7 internode_28-30 Days,6-7 internode_28-30 Days_4
7-8 internode,7-8 internode_28-30 Days,7-8 internode_28-30 Days_1
7-8 internode,7-8 internode_28-30 Days,7-8 internode_28-30 Days_2
7-8 internode,7-8 internode_28-30 Days,7-8 internode_28-30 Days_3
7-8 internode,7-8 internode_28-30 Days,7-8 internode_28-30 Days_4
,Anther_1.0 mm,Anther_1.0 mm_1
,Anther_1.0 mm,Anther_1.0 mm_2
,Anther_1.0 mm,Anther_1.0 mm_3
,Anther_1.0 mm,Anther_1.0 mm_4
,Anther_1.0 mm,Anther_1.0 mm_5
,Anther_1.0 mm,Anther_1.0 mm_6
,Anther_2.0 mm,Anther_2.0 mm_1
,Anther_2.0 mm,Anther_2.0 mm_2
,Anther_2.0 mm,Anther_2.0 mm_3
,Anther_2.0 mm,Anther_2.0 mm_4
,Anther_2.0 mm,Anther_2.0 mm_5
,B73 Germ Pollen ,B73 Germ Pollen _1
,B73 Germ Pollen ,B73 Germ Pollen _2
,B73 Germ Pollen ,B73 Germ Pollen _3
,B73 Germ Pollen ,B73 Germ Pollen _4
B73 Mature Pollen,B73 Mature Pollen ,B73 Mature Pollen _1
B73 Mature Pollen,B73 Mature Pollen ,B73 Mature Pollen _2
B73 Mature Pollen,B73 Mature Pollen ,B73 Mature Pollen _3
B73 Mature Pollen,B73 Mature Pollen ,B73 Mature Pollen _4
Ear Primordium 2-4 mm,Ear Primordium_2-4 mm from tip,Ear Primordium_2-4 mm from tip_1
Ear Primordium 2-4 mm,Ear Primordium_2-4 mm from tip,Ear Primordium_2-4 mm from tip_2
Ear Primordium 2-4 mm,Ear Primordium_2-4 mm from tip,Ear Primordium_2-4 mm from tip_3
Ear Primordium 2-4 mm,Ear Primordium_2-4 mm from tip,Ear Primordium_2-4 mm from tip_4
Ear Primordium 6-8 mm,Ear Primordium_6-8 mm from tip,Ear Primordium_6-8 mm from tip_1
Ear Primordium 6-8 mm,Ear Primordium_6-8 mm from tip,Ear Primordium_6-8 mm from tip_2
Ear Primordium 6-8 mm,Ear Primordium_6-8 mm from tip,Ear Primordium_6-8 mm from tip_3
Ear Primordium 6-8 mm,Ear Primordium_6-8 mm from tip,Ear Primordium_6-8 mm from tip_4
,Ear Primordium_Tip (1 mm),Ear Primordium_Tip (1 mm)_1
,Ear Primordium_Tip (1 mm),Ear Primordium_Tip (1 mm)_2
,Ear Primordium_Tip (1 mm),Ear Primordium_Tip (1 mm)_3
,Ear Primordium_Tip (1 mm),Ear Primordium_Tip (1 mm)_4
Embryo 20 DAP,Embryo 20 DAP,Embryo 20 DAP_1
Embryo 20 DAP,Embryo 20 DAP,Embryo 20 DAP_2
Embryo 20 DAP,Embryo 20 DAP,Embryo 20 DAP_3
Embryo 20 DAP,Embryo 20 DAP,Embryo 20 DAP_4
Embryo 20 DAP,Embryo 20 DAP,Embryo 20 DAP_5
Embryo 20 DAP,Embryo 20 DAP,Embryo 20 DAP_6
Embryo 38 DAP,Embryo_38 DAP,Embryo_38 DAP_1
Embryo 38 DAP,Embryo_38 DAP,Embryo_38 DAP_2
Embryo 38 DAP,Embryo_38 DAP,Embryo_38 DAP_3
Embryo 38 DAP,Embryo_38 DAP,Embryo_38 DAP_4
,Endosperm_10 DAP,Endosperm_10 DAP_1
,Endosperm_10 DAP,Endosperm_10 DAP_2
,Endosperm_10 DAP,Endosperm_10 DAP_3
,Endosperm_10 DAP,Endosperm_10 DAP_4
Endosperm 12 DAP,Endosperm_12 DAP,Endosperm_12 DAP_1
Endosperm 12 DAP,Endosperm_12 DAP,Endosperm_12 DAP_2
Endosperm 12 DAP,Endosperm_12 DAP,Endosperm_12 DAP_3
Endosperm 12 DAP,Endosperm_12 DAP,Endosperm_12 DAP_4
Endosperm 12 DAP,Endosperm_12 DAP,Endosperm_12 DAP_5
Endosperm 12 DAP,Endosperm_12 DAP,Endosperm_12 DAP_6
,Endosperm_8 DAP,Endosperm_8 DAP_1
,Endosperm_8 DAP,Endosperm_8 DAP_2
,Endosperm_8 DAP,Endosperm_8 DAP_3
,Endosperm_8 DAP,Endosperm_8 DAP_4
,Endosperm_8 DAP,Endosperm_8 DAP_5
,Endosperm_8 DAP,Endosperm_8 DAP_6
,Endosperm_8 DAP,Endosperm_8 DAP_7
Endosperm Crown 27 DAP,Endosperm Crown_27 DAP,Endosperm Crown_27 DAP_1
Endosperm Crown 27 DAP,Endosperm Crown_27 DAP,Endosperm Crown_27 DAP_2
Endosperm Crown 27 DAP,Endosperm Crown_27 DAP,Endosperm Crown_27 DAP_3
Endosperm Crown 27 DAP,Endosperm Crown_27 DAP,Endosperm Crown_27 DAP_4
Endosperm Crown 27 DAP,Endosperm Crown_27 DAP,Endosperm Crown_27 DAP_5
Female Spikelet Collected on day as silk,Female Spikelet_Collected on day as silk,Female Spikelet_Collected on day as silk_1
Female Spikelet Collected on day as silk,Female Spikelet_Collected on day as silk,Female Spikelet_Collected on day as silk_2
Female Spikelet Collected on day as silk,Female Spikelet_Collected on day as silk,Female Spikelet_Collected on day as silk_3
Female Spikelet Collected on day as silk,Female Spikelet_Collected on day as silk,Female Spikelet_Collected on day as silk_4
Leaf Zone 3 (Growth),Leaf Zone 3 (Growth),Leaf Zone 3 (Growth)_1
