tracking_id,Sample,Replicate
129,Ear Primordium 6-8 mm,Ear Primordium 6-8 mm_1
130,Ear Primordium 6-8 mm,Ear Primordium 6-8 mm_2
131,Ear Primordium 6-8 mm,Ear Primordium 6-8 mm_3
132,Ear Primordium 2-4 mm,Ear Primordium 2-4 mm_1
133,Ear Primordium 2-4 mm,Ear Primordium 2-4 mm_2
134,Ear Primordium 2-4 mm,Ear Primordium 2-4 mm_3
15,Endosperm 12 DAP,Endosperm 12 DAP_1
16,Endosperm 12 DAP,Endosperm 12 DAP_2
17,Endosperm 12 DAP,Endosperm 12 DAP_3
19,Pericarp/Aleurone 27 DAP,Pericarp/Aleurone 27 DAP_1
22,Pericarp/Aleurone 27 DAP,Pericarp/Aleurone 27 DAP_2
23,Pericarp/Aleurone 27 DAP,Pericarp/Aleurone 27 DAP_3
24,Endosperm Crown 27 DAP,Endosperm Crown 27 DAP_1
25,Endosperm Crown 27 DAP,Endosperm Crown 27 DAP_2
26,Endosperm Crown 27 DAP,Endosperm Crown 27 DAP_3
29,Leaf Zone 1 (Symmetrical),Leaf Zone 1 (Symmetrical)_1
30,Leaf Zone 1 (Symmetrical),Leaf Zone 1 (Symmetrical)_2
31,Leaf Zone 1 (Symmetrical),Leaf Zone 1 (Symmetrical)_3
33,Leaf Zone 2 (Stomatal),Leaf Zone 2 (Stomatal)_1
34,Leaf Zone 2 (Stomatal),Leaf Zone 2 (Stomatal)_2
35,Leaf Zone 2 (Stomatal),Leaf Zone 2 (Stomatal)_3
37,Leaf Zone 3 (Growth),Leaf Zone 3 (Growth)_1
39,Leaf Zone 3 (Growth),Leaf Zone 3 (Growth)_2
40,Leaf Zone 3 (Growth),Leaf Zone 3 (Growth)_3
43,Embryo 20 DAP,Embryo 20 DAP_1
44,Embryo 20 DAP,Embryo 20 DAP_2
46,Embryo 20 DAP,Embryo 20 DAP_3
48,Embryo 38 DAP,Embryo 38 DAP_1
49,Embryo 38 DAP,Embryo 38 DAP_2
50,Embryo 38 DAP,Embryo 38 DAP_3
52,Germinatin Kernels 2 DAI,Germinatin Kernels 2 DAI_1
55,Germinatin Kernels 2 DAI,Germinatin Kernels 2 DAI_2
56,Germinatin Kernels 2 DAI,Germinatin Kernels 2 DAI_3
57,Mature Leaf 8,Mature Leaf 8_1
58,Mature Leaf 8,Mature Leaf 8_2
59,Mature Leaf 8,Mature Leaf 8_3
FS1,Female Spikelet Collected on day as silk,Female Spikelet Collected on day as silk_1
FS2,Female Spikelet Collected on day as silk,Female Spikelet Collected on day as silk_2
FS3,Female Spikelet Collected on day as silk,Female Spikelet Collected on day as silk_3
Int6_7_2,6-7 internode,6-7 internode_1
Int6_7_3,6-7 internode,6-7 internode_2
Int6_7_4,6-7 internode,6-7 internode_3
Int7_8_2,7-8 internode,7-8 internode_1
Int7_8_3,7-8 internode,7-8 internode_2
Int7_8_4,7-8 internode,7-8 internode_3
P1,B73 Mature Pollen,B73 Mature Pollen_1
P2,B73 Mature Pollen,B73 Mature Pollen_2
P4,B73 Mature Pollen,B73 Mature Pollen_3
R1,Primary Root 5 Days,Primary Root 5 Days_1
R17,Primary Root 5 Days,Primary Root 5 Days_2
R18,Primary Root 5 Days,Primary Root 5 Days_3
R19,Secondary Root 7-8 Days,Secondary Root 7-8 Days_1
R2,Secondary Root 7-8 Days,Secondary Root 7-8 Days_2
R3,Secondary Root 7-8 Days,Secondary Root 7-8 Days_3
R33,Root - Meristem Zone 5 Days,Root - Meristem Zone 5 Days_1
R34,Root - Meristem Zone 5 Days,Root - Meristem Zone 5 Days_2
R35,Root - Meristem Zone 5 Days,Root - Meristem Zone 5 Days_3
R37,Root - Elongation Zone 5 Days,Root - Elongation Zone 5 Days_1
R38,Root - Elongation Zone 5 Days,Root - Elongation Zone 5 Days_2
R39,Root - Elongation Zone 5 Days,Root - Elongation Zone 5 Days_3
R41,Root - Cortex 5 Days,Root - Cortex 5 Days_1
R42,Root - Cortex 5 Days,Root - Cortex 5 Days_2
R43,Root - Cortex 5 Days,Root - Cortex 5 Days_3
S1,Silk,Silk_1
S2,Silk,Silk_2
S3,Silk,Silk_3
VMS1,Vegetative Meristem 16-19 Day,Vegetative Meristem 16-19 Day_1
VMS2,Vegetative Meristem 16-19 Day,Vegetative Meristem 16-19 Day_2
