Type	SYSTEM:	SYSTEM:	UNIQUE READS:	UNIQUE READS:	UNIQUE READS:	UNIQUE READS:	UNIQUE READS:	UNIQUE READS:	UNIQUE READS:	UNIQUE READS:	UNIQUE READS:	UNIQUE READS:	UNIQUE READS:	UNIQUE READS:	UNIQUE READS:	UNIQUE READS:	MULTI-MAPPING READS:	MULTI-MAPPING READS:	MULTI-MAPPING READS:	MULTI-MAPPING READS:	UNMAPPED READS:	UNMAPPED READS:	UNMAPPED READS:	CHIMERIC READS:	CHIMERIC READS:
Measure	Number of input reads	Average input read length	Uniquely mapped reads number	Uniquely mapped reads %	Average mapped length	Number of splices: Total	Number of splices: Annotated (sjdb)	Number of splices: GT/AG	Number of splices: GC/AG	Number of splices: AT/AC	Number of splices: Non-canonical	"Mismatch rate per base, %"	Deletion rate per base	Deletion average length	Insertion rate per base	Insertion average length	Number of reads mapped to multiple loci	% of reads mapped to multiple loci	Number of reads mapped to too many loci	% of reads mapped to too many loci	% of reads unmapped: too many mismatches	% of reads unmapped: too short	% of reads unmapped: other	Number of chimeric reads	% of chimeric reads
SRR957415	33737396	98	31215034	92.52%	98.36	11482126	11093236	11294243	162023	9714	16146	0.09%	0.00%	1.49	0.00%	1.23	1514607	4.49%	645375	1.91%	0.00%	0.79%	0.28%	0	0.00%
SRR957416	32946963	98	30451990	92.43%	98.29	10535846	10198067	10359863	152489	7312	16182	0.09%	0.00%	1.48	0.00%	1.22	1519118	4.61%	630854	1.91%	0.00%	0.75%	0.30%	0	0.00%
SRR957417	34445242	98	32100962	93.19%	98.37	11213689	10801398	11032058	157552	8991	15088	0.09%	0.00%	1.45	0.00%	1.2	1529330	4.44%	475668	1.38%	0.00%	0.75%	0.24%	0	0.00%
SRR957418	20785545	97	17550103	84.43%	97.33	3484356	3317047	3407812	55155	2394	18995	0.14%	0.00%	1.58	0.00%	1.24	1523886	7.33%	1253052	6.03%	0.00%	1.49%	0.71%	0	0.00%
SRR957419	20321908	97	17174490	84.51%	97.56	3482333	3324632	3402128	55515	2659	22031	0.14%	0.00%	1.6	0.00%	1.23	1663878	8.19%	1047035	5.15%	0.00%	1.49%	0.66%	0	0.00%
SRR957420	12908038	96	10861715	84.15%	97.25	2454603	2347418	2403342	38672	1927	10662	0.14%	0.00%	1.59	0.00%	1.23	858222	6.65%	747197	5.79%	0.00%	2.69%	0.72%	0	0.00%
SRR957421	16803838	97	12923755	76.91%	97.37	1538290	1449772	1484533	26710	974	26073	0.15%	0.00%	1.6	0.00%	1.23	2331511	13.87%	1096726	6.53%	0.00%	1.90%	0.79%	0	0.00%
SRR957422	19503649	97	14936795	76.58%	97.70	1945520	1844947	1887078	32930	1263	24249	0.14%	0.00%	1.56	0.00%	1.19	2596666	13.31%	1448416	7.43%	0.00%	1.81%	0.87%	0	0.00%
SRR957423	26327422	97	20918014	79.45%	97.39	2356414	2213649	2270716	40057	1675	43966	0.15%	0.00%	1.61	0.00%	1.21	3823721	14.52%	1094457	4.16%	0.00%	1.33%	0.54%	0	0.00%
SRR957424	25554300	98	23691736	92.71%	98.04	7783722	7474320	7651431	111230	9289	11772	0.12%	0.00%	1.55	0.00%	1.26	1270714	4.97%	282354	1.10%	0.00%	0.99%	0.22%	0	0.00%
SRR957425	22982285	98	21226827	92.36%	98.06	7223536	6941184	7099892	104536	8953	10155	0.12%	0.00%	1.55	0.00%	1.25	1135158	4.94%	320282	1.39%	0.00%	1.05%	0.26%	0	0.00%
SRR957426	22409811	98	20273476	90.47%	97.95	7000507	6736797	6878719	101987	9429	10372	0.12%	0.00%	1.49	0.00%	1.22	1063374	4.75%	691210	3.08%	0.00%	1.27%	0.43%	0	0.00%
SRR957427	21487522	97	18777306	87.39%	97.87	5484986	5239392	5395230	74755	6052	8949	0.12%	0.00%	1.59	0.00%	1.24	1086228	5.06%	1192150	5.55%	0.00%	1.24%	0.77%	0	0.00%
SRR957428	20845004	98	19247179	92.33%	97.87	6466319	6225226	6357323	91596	7775	9625	0.12%	0.00%	1.58	0.00%	1.28	955103	4.58%	349093	1.67%	0.00%	1.12%	0.29%	0	0.00%
SRR957429	21827486	98	15557201	71.27%	97.90	4464586	4260123	4391536	60768	4780	7502	0.18%	0.01%	1.73	0.01%	1.23	1584267	7.26%	2063427	9.45%	0.00%	10.67%	1.34%	0	0.00%
SRR957430	22979981	97	20095118	87.45%	97.96	5784928	5522727	5690104	79753	5364	9707	0.12%	0.00%	1.56	0.00%	1.26	1140844	4.96%	1287670	5.60%	0.00%	1.22%	0.77%	0	0.00%
SRR957431	24528502	98	22547460	91.92%	97.91	7592980	7318439	7470022	104596	6941	11421	0.12%	0.00%	1.51	0.00%	1.22	1031652	4.21%	599773	2.45%	0.00%	1.09%	0.34%	0	0.00%
SRR957432	16536343	97	15068482	91.12%	97.79	5100768	4916871	5019555	68860	4706	7647	0.12%	0.00%	1.53	0.00%	1.23	712131	4.31%	353138	2.14%	0.00%	2.14%	0.30%	0	0.00%
SRR957433	32962207	98	30977116	93.98%	98.23	9740105	9351158	9577088	138495	8831	15691	0.09%	0.00%	1.57	0.00%	1.26	1320463	4.01%	363606	1.10%	0.00%	0.75%	0.16%	0	0.00%
SRR957434	33450570	98	31385394	93.83%	98.41	10447455	10013769	10263564	156371	10480	17040	0.09%	0.00%	1.56	0.00%	1.26	1417569	4.24%	355226	1.06%	0.00%	0.70%	0.17%	0	0.00%
SRR957435	33769594	98	31585778	93.53%	98.25	10024309	9620753	9852431	145973	8875	17030	0.09%	0.00%	1.57	0.00%	1.27	1406415	4.16%	452220	1.34%	0.00%	0.76%	0.20%	0	0.00%
SRR957436	17368479	97	15780292	90.86%	97.69	4605573	4434429	4530802	63584	4074	7113	0.13%	0.00%	1.51	0.00%	1.2	773199	4.45%	538990	3.10%	0.00%	1.20%	0.39%	0	0.00%
SRR957437	17463033	97	15334912	87.81%	97.52	4141237	3986706	4072898	58265	3334	6740	0.13%	0.00%	1.53	0.00%	1.22	687962	3.94%	1080845	6.19%	0.00%	1.41%	0.65%	0	0.00%
SRR957438	21488498	97	20144438	93.75%	97.49	5614343	5401919	5523366	77053	4378	9546	0.13%	0.00%	1.56	0.00%	1.23	885393	4.12%	172419	0.80%	0.00%	1.19%	0.14%	0	0.00%
SRR957439	20811315	97	18854786	90.60%	97.82	6104643	5862281	5995146	95133	5521	8843	0.13%	0.00%	1.54	0.00%	1.21	899637	4.32%	680769	3.27%	0.00%	1.38%	0.43%	0	0.00%
SRR957440	20539668	97	18210095	88.66%	97.63	5757056	5545972	5661364	83254	4760	7678	0.13%	0.00%	1.52	0.00%	1.21	777358	3.78%	1131463	5.51%	0.00%	1.45%	0.60%	0	0.00%
SRR957441	41399026	97	35721082	86.28%	97.70	11370252	10946243	11180552	163691	9886	16123	0.12%	0.00%	1.51	0.00%	1.21	1684405	4.07%	3042849	7.35%	0.00%	1.48%	0.82%	0	0.00%
SRR957442	18795487	97	14270609	75.93%	98.08	3079778	2894873	3006805	65610	1739	5624	0.12%	0.01%	1.47	0.01%	1.25	990706	5.27%	2783309	14.81%	0.00%	2.28%	1.71%	0	0.00%
SRR957443	25242275	97	20544539	81.39%	97.92	6391784	6072880	6266686	109647	3761	11690	0.12%	0.00%	1.46	0.00%	1.23	2506620	9.93%	1617027	6.41%	0.00%	1.44%	0.83%	0	0.00%
SRR957444	20579757	98	17461608	84.85%	97.97	5009702	4724752	4906013	92991	3156	7542	0.12%	0.00%	1.45	0.01%	1.22	1460438	7.10%	1181154	5.74%	0.00%	1.59%	0.73%	0	0.00%
SRR957445	26347305	98	24703617	93.76%	98.10	8190305	7867465	8050589	119404	9225	11087	0.12%	0.00%	1.52	0.00%	1.21	1178021	4.47%	207991	0.79%	0.00%	0.83%	0.15%	0	0.00%
SRR957446	23411159	98	21980188	93.89%	98.14	7339338	7053738	7216002	104728	8420	10188	0.12%	0.00%	1.51	0.00%	1.22	1055796	4.51%	148416	0.63%	0.00%	0.83%	0.14%	0	0.00%
SRR957447	15056893	97	13897500	92.30%	97.85	4749416	4561236	4667436	69256	5763	6961	0.13%	0.00%	1.53	0.00%	1.23	681238	4.52%	96708	0.64%	0.00%	2.40%	0.13%	0	0.00%
SRR957448	24204838	98	22709354	93.82%	97.99	8008888	7714025	7874972	112439	10097	11380	0.12%	0.00%	1.53	0.00%	1.24	1086852	4.49%	126970	0.52%	0.00%	1.05%	0.11%	0	0.00%
SRR957449	25959405	98	23115763	89.05%	98.06	8033119	7740294	7899651	112659	9697	11112	0.12%	0.00%	1.55	0.00%	1.23	1105076	4.26%	1275407	4.91%	0.00%	1.15%	0.63%	0	0.00%
SRR957450	28684478	98	26158826	91.20%	98.05	8757410	8424808	8609137	125811	10692	11770	0.12%	0.00%	1.52	0.00%	1.22	1258167	4.39%	891569	3.11%	0.00%	0.92%	0.39%	0	0.00%
SRR957451	23257270	97	19543061	84.03%	97.99	6631233	6425103	6538453	79544	6128	7108	0.12%	0.00%	1.45	0.00%	1.19	1041529	4.48%	2167792	9.32%	0.00%	1.26%	0.91%	0	0.00%
SRR957452	23964577	97	18504818	77.22%	97.78	5420899	5244545	5348105	61880	4344	6570	0.12%	0.00%	1.47	0.00%	1.2	818462	3.42%	3907762	16.31%	0.00%	1.55%	1.51%	0	0.00%
SRR957453	21258241	98	19060683	89.66%	98.05	3502137	3305714	3449744	45035	2425	4933	0.11%	0.00%	1.47	0.01%	1.22	568169	2.67%	1194841	5.62%	0.00%	1.46%	0.59%	0	0.00%
SRR957454	22202951	98	20556689	92.59%	97.95	7025607	6814177	6925443	85110	6708	8346	0.12%	0.00%	1.45	0.00%	1.2	1038023	4.68%	278601	1.25%	0.00%	1.32%	0.16%	0	0.00%
SRR957455	20337192	98	18995967	93.41%	97.92	5455544	5256108	5383663	61742	4292	5847	0.12%	0.00%	1.47	0.01%	1.2	766504	3.77%	282830	1.39%	0.00%	1.27%	0.16%	0	0.00%
SRR957456	19598852	98	18382905	93.80%	97.98	3403817	3227014	3352646	44279	2190	4702	0.11%	0.00%	1.49	0.01%	1.23	527375	2.69%	283482	1.45%	0.00%	1.89%	0.18%	0	0.00%
SRR957457	22665046	98	21003530	92.67%	98.08	7265956	7046432	7164157	86498	7249	8052	0.11%	0.00%	1.45	0.00%	1.2	1070850	4.72%	259801	1.15%	0.00%	1.30%	0.16%	0	0.00%
SRR957458	20350351	97	14105400	69.31%	97.95	4279201	4144127	4220822	49331	3482	5566	0.12%	0.00%	1.46	0.00%	1.2	689882	3.39%	4643340	22.82%	0.00%	2.26%	2.22%	0	0.00%
SRR957459	8974629	93	4183064	46.61%	97.19	837284	794199	824076	10781	620	1807	0.16%	0.00%	1.48	0.01%	1.25	191777	2.14%	3347210	37.30%	0.00%	10.11%	3.84%	0	0.00%
SRR957460	26708519	97	22466413	84.12%	97.85	6732140	6533977	6637977	79484	5666	9013	0.12%	0.00%	1.49	0.00%	1.24	989134	3.70%	2614014	9.79%	0.00%	1.36%	1.03%	0	0.00%
SRR957461	24679053	97	21892476	88.71%	97.93	6613092	6422784	6519922	79885	5258	8027	0.12%	0.00%	1.47	0.00%	1.22	922420	3.74%	1425916	5.78%	0.00%	1.19%	0.59%	0	0.00%
SRR957462	26532922	97	22392352	84.39%	97.82	6514119	6318560	6423025	77215	5239	8640	0.12%	0.00%	1.49	0.00%	1.24	950572	3.58%	2561442	9.65%	0.00%	1.38%	0.99%	0	0.00%
SRR957463	23347355	98	21986027	94.17%	97.91	6673018	6479671	6579120	80872	5567	7459	0.12%	0.00%	1.47	0.00%	1.21	880306	3.77%	214040	0.92%	0.00%	1.03%	0.11%	0	0.00%
SRR957464	24976860	98	23584021	94.42%	97.86	7035166	6832379	6936560	84231	5856	8519	0.12%	0.00%	1.47	0.00%	1.21	947214	3.79%	162059	0.65%	0.00%	1.05%	0.08%	0	0.00%
SRR957465	26349381	97	21977239	83.41%	97.99	6667426	6477559	6572193	81333	5435	8465	0.12%	0.00%	1.46	0.00%	1.21	949867	3.60%	2764937	10.49%	0.00%	1.42%	1.08%	0	0.00%
SRR957466	29703493	97	25087889	84.46%	97.41	5170690	4943213	5021476	114128	4688	30398	0.13%	0.00%	1.57	0.00%	1.21	1947716	6.56%	2055715	6.92%	0.00%	1.29%	0.77%	0	0.00%
SRR957467	28490198	97	25389463	89.12%	97.36	5487079	5230936	5320968	115625	5190	45296	0.14%	0.00%	1.59	0.00%	1.19	1912213	6.71%	666530	2.34%	0.00%	1.51%	0.32%	0	0.00%
SRR957468	29348231	97	23821783	81.17%	97.37	4077505	3887336	3936159	94337	4070	42939	0.13%	0.00%	1.62	0.00%	1.22	2467544	8.41%	2054473	7.00%	0.00%	2.61%	0.81%	0	0.00%
SRR957469	25093228	97	22020963	87.76%	97.57	6380654	6076046	6278528	87314	4276	10536	0.12%	0.01%	1.48	0.00%	1.21	841608	3.35%	1686164	6.72%	0.00%	1.41%	0.76%	0	0.00%
SRR957470	19721668	97	11860144	60.14%	97.94	3573202	3395989	3512253	53450	2728	4771	0.11%	0.00%	1.46	0.01%	1.21	710107	3.60%	5969118	30.27%	0.00%	2.51%	3.49%	0	0.00%
SRR957471	8329527	95	6971835	83.70%	97.55	2002633	1903479	1970658	28105	1457	2413	0.12%	0.00%	1.47	0.01%	1.23	246867	2.96%	523589	6.29%	0.00%	6.37%	0.68%	0	0.00%
SRR957472	8471575	96	7633099	90.10%	97.80	2314034	2225458	2279478	29853	2106	2597	0.12%	0.00%	1.5	0.00%	1.24	277525	3.28%	141003	1.66%	0.00%	4.75%	0.21%	0	0.00%
SRR957473	16100554	97	10556579	65.57%	98.03	3272745	3149756	3221095	44622	3261	3767	0.11%	0.00%	1.49	0.00%	1.21	482423	3.00%	4046275	25.13%	0.00%	3.59%	2.71%	0	0.00%
SRR957474	21266571	97	14190244	66.73%	97.96	4224552	4074337	4160252	54971	3736	5593	0.11%	0.00%	1.51	0.00%	1.24	651029	3.06%	5335433	25.09%	0.00%	2.49%	2.63%	0	0.00%
SRR957475	23191781	97	18901117	81.50%	98.05	6092844	5883211	6000582	78536	5173	8553	0.11%	0.00%	1.51	0.00%	1.25	822809	3.55%	2716135	11.71%	0.00%	1.91%	1.34%	0	0.00%
SRR957476	23334794	98	19318601	82.79%	98.15	6145461	5930502	6055248	77310	5093	7810	0.11%	0.00%	1.5	0.00%	1.23	827082	3.54%	2549702	10.93%	0.00%	1.50%	1.24%	0	0.00%
SRR957477	25477415	98	23060657	90.51%	98.14	7225268	6982820	7121667	89401	5874	8326	0.11%	0.00%	1.48	0.00%	1.22	944824	3.71%	1050677	4.12%	0.00%	1.17%	0.49%	0	0.00%
SRR957478	23270967	98	19890875	85.48%	98.13	6441297	6224636	6343481	82832	6718	8266	0.11%	0.00%	1.48	0.00%	1.23	850538	3.65%	1927522	8.28%	0.00%	1.62%	0.97%	0	0.00%
SRR957479	21439850	97	16758984	78.17%	98.11	5469544	5271540	5386946	70222	5131	7245	0.11%	0.00%	1.52	0.00%	1.23	752803	3.51%	3154318	14.71%	0.00%	1.94%	1.67%	0	0.00%
SRR957480	25922302	97	21286294	82.12%	98.04	6512075	6288058	6413793	83986	6245	8051	0.11%	0.00%	1.51	0.00%	1.25	898942	3.47%	3002225	11.58%	0.00%	1.54%	1.29%	0	0.00%
SRR957481	23784757	97	14728781	61.93%	98.32	4079805	3892998	4011783	57818	4338	5866	0.10%	0.00%	1.48	0.01%	1.22	782220	3.29%	6887867	28.96%	0.00%	2.71%	3.11%	0	0.00%
SRR957482	25729902	97	13037935	50.67%	98.23	3791819	3617760	3729375	52185	4089	6170	0.11%	0.01%	1.48	0.01%	1.22	716822	2.79%	10199807	39.64%	0.00%	2.72%	4.18%	0	0.00%
