Type	SYSTEM:	SYSTEM:	UNIQUE READS:	UNIQUE READS:	UNIQUE READS:	UNIQUE READS:	UNIQUE READS:	UNIQUE READS:	UNIQUE READS:	UNIQUE READS:	UNIQUE READS:	UNIQUE READS:	UNIQUE READS:	UNIQUE READS:	UNIQUE READS:	UNIQUE READS:	MULTI-MAPPING READS:	MULTI-MAPPING READS:	MULTI-MAPPING READS:	MULTI-MAPPING READS:	UNMAPPED READS:	UNMAPPED READS:	UNMAPPED READS:	CHIMERIC READS:	CHIMERIC READS:
Measure	Number of input reads	Average input read length	Uniquely mapped reads number	Uniquely mapped reads %	Average mapped length	Number of splices: Total	Number of splices: Annotated (sjdb)	Number of splices: GT/AG	Number of splices: GC/AG	Number of splices: AT/AC	Number of splices: Non-canonical	"Mismatch rate per base, %"	Deletion rate per base	Deletion average length	Insertion rate per base	Insertion average length	Number of reads mapped to multiple loci	% of reads mapped to multiple loci	Number of reads mapped to too many loci	% of reads mapped to too many loci	% of reads unmapped: too many mismatches	% of reads unmapped: too short	% of reads unmapped: other	Number of chimeric reads	% of chimeric reads
SRR957415	33974745	100	31267241	92.03%	99.57	11571117	11176278	11381645	162967	9790	16715	0.15%	0.00%	1.48	0.00%	1.25	1486203	4.37%	644097	1.90%	0.00%	1.45%	0.24%	0	0.00%
SRR957416	33146885	100	30506498	92.03%	99.59	10618894	10275827	10441404	153453	7367	16670	0.16%	0.00%	1.47	0.00%	1.24	1493477	4.51%	629480	1.90%	0.00%	1.31%	0.25%	0	0.00%
SRR957417	34620400	100	32158414	92.89%	99.59	11305969	10886693	11122757	158588	9079	15545	0.15%	0.00%	1.44	0.00%	1.22	1501737	4.34%	473797	1.37%	0.00%	1.21%	0.20%	0	0.00%
SRR957418	21908704	100	17585014	80.26%	99.52	3532626	3360606	3454296	55876	2421	20033	0.27%	0.00%	1.57	0.00%	1.26	1479895	6.75%	1250068	5.71%	0.00%	6.70%	0.57%	0	0.00%
SRR957419	21154911	100	17189994	81.26%	99.49	3522279	3360879	3440565	56057	2676	22981	0.24%	0.00%	1.6	0.00%	1.24	1625132	7.68%	1043366	4.93%	0.00%	5.58%	0.54%	0	0.00%
SRR957420	15145587	100	10866869	71.75%	99.47	2485803	2375938	2433435	39110	1936	11322	0.27%	0.00%	1.58	0.00%	1.24	834075	5.51%	743782	4.91%	0.00%	17.31%	0.52%	0	0.00%
SRR957421	20475682	100	12936014	63.18%	99.46	1558163	1466849	1503290	26998	983	26892	0.26%	0.00%	1.59	0.00%	1.24	2278398	11.13%	1092521	5.34%	0.00%	19.81%	0.55%	0	0.00%
SRR957422	22450336	100	14968488	66.67%	99.58	1969265	1865652	1909511	33290	1267	25197	0.24%	0.00%	1.55	0.00%	1.2	2544678	11.33%	1446859	6.44%	0.00%	14.91%	0.64%	0	0.00%
SRR957423	27178641	100	20946213	77.07%	99.48	2385987	2239101	2298616	40476	1681	45214	0.26%	0.00%	1.61	0.00%	1.22	3739305	13.76%	1090991	4.01%	0.00%	4.72%	0.44%	0	0.00%
SRR957424	26569994	100	23708654	89.23%	99.57	7861062	7547006	7727351	112202	9343	12166	0.20%	0.00%	1.54	0.00%	1.28	1237204	4.66%	280596	1.06%	0.00%	4.87%	0.19%	0	0.00%
SRR957425	23790586	100	21236538	89.26%	99.57	7295896	7009296	7170870	105515	8991	10520	0.20%	0.00%	1.54	0.00%	1.26	1105018	4.64%	318911	1.34%	0.00%	4.53%	0.22%	0	0.00%
SRR957426	23421576	100	20281833	86.59%	99.52	7071547	6803254	6947996	102966	9490	11095	0.20%	0.00%	1.49	0.00%	1.23	1034610	4.42%	688201	2.94%	0.00%	5.70%	0.35%	0	0.00%
SRR957427	22367166	100	18804693	84.07%	99.55	5544229	5294104	5452884	75374	6107	9864	0.22%	0.00%	1.58	0.00%	1.26	1059276	4.74%	1185275	5.30%	0.00%	5.26%	0.63%	0	0.00%
SRR957428	21212846	100	19263480	90.81%	99.53	6529938	6285025	6419654	92421	7811	10052	0.21%	0.00%	1.57	0.00%	1.29	926114	4.37%	346266	1.63%	0.00%	2.95%	0.24%	0	0.00%
SRR957429	22851558	100	15574386	68.15%	99.55	4511652	4303444	4437182	61394	4820	8256	0.27%	0.01%	1.71	0.01%	1.25	1566480	6.86%	2066945	9.05%	0.00%	14.79%	1.15%	0	0.00%
SRR957430	24481942	100	20130785	82.23%	99.59	5847452	5580564	5750911	80427	5399	10715	0.21%	0.00%	1.56	0.00%	1.28	1114828	4.55%	1281065	5.23%	0.00%	7.37%	0.62%	0	0.00%
SRR957431	25735688	100	22563997	87.68%	99.56	7669655	7390561	7545076	105571	6985	12023	0.21%	0.00%	1.5	0.00%	1.23	999662	3.88%	597248	2.32%	0.00%	5.84%	0.27%	0	0.00%
SRR957432	19096768	100	15066001	78.89%	99.5	5151025	4964228	5068859	69432	4744	7990	0.21%	0.00%	1.52	0.00%	1.24	687568	3.60%	351322	1.84%	0.00%	15.45%	0.22%	0	0.00%
SRR957433	33351230	100	31045056	93.09%	99.58	9819789	9425969	9655314	139404	8897	16174	0.16%	0.00%	1.56	0.00%	1.28	1289693	3.87%	361995	1.09%	0.00%	1.84%	0.12%	0	0.00%
SRR957434	33646352	100	31444210	93.46%	99.6	10527690	10088963	10342320	157275	10551	17544	0.15%	0.00%	1.55	0.00%	1.28	1389420	4.13%	353359	1.05%	0.00%	1.22%	0.14%	0	0.00%
SRR957435	33971845	100	31655373	93.18%	99.58	10107801	9699152	9934302	146950	8947	17602	0.16%	0.00%	1.56	0.00%	1.29	1376267	4.05%	450141	1.33%	0.00%	1.29%	0.16%	0	0.00%
SRR957436	18657758	100	15803699	84.70%	99.59	4663088	4488821	4587173	64226	4101	7588	0.23%	0.00%	1.5	0.00%	1.22	751941	4.03%	537388	2.88%	0.00%	8.08%	0.31%	0	0.00%
SRR957437	19626903	100	15369047	78.31%	99.56	4192084	4034463	4122380	58862	3353	7489	0.25%	0.00%	1.52	0.00%	1.24	671545	3.42%	1076107	5.48%	0.00%	12.33%	0.46%	0	0.00%
SRR957438	22433479	100	20165338	89.89%	99.52	5682853	5467065	5590636	77899	4403	9915	0.24%	0.00%	1.55	0.00%	1.25	857672	3.82%	170891	0.76%	0.00%	5.41%	0.11%	0	0.00%
SRR957439	22717651	100	18868122	83.05%	99.53	6166995	5920784	6055956	96023	5563	9453	0.22%	0.00%	1.54	0.00%	1.23	874533	3.85%	676130	2.98%	0.00%	9.78%	0.34%	0	0.00%
SRR957440	23331686	100	18227760	78.12%	99.52	5821689	5606501	5724370	84068	4784	8467	0.23%	0.00%	1.51	0.00%	1.23	751455	3.22%	1125659	4.82%	0.00%	13.39%	0.44%	0	0.00%
SRR957441	46059806	100	35766630	77.65%	99.53	11494732	11062433	11301599	165203	9929	18001	0.23%	0.00%	1.5	0.00%	1.23	1636727	3.55%	3028640	6.58%	0.00%	11.61%	0.61%	0	0.00%
SRR957442	20434594	100	14277625	69.87%	99.54	3115076	2926691	3040551	66125	1758	6642	0.20%	0.01%	1.46	0.01%	1.27	982837	4.81%	2778110	13.60%	0.00%	10.37%	1.35%	0	0.00%
SRR957443	26408022	100	20561374	77.86%	99.54	6460848	6136731	6333837	110475	3806	12730	0.21%	0.00%	1.45	0.00%	1.25	2478254	9.38%	1609940	6.10%	0.00%	5.98%	0.68%	0	0.00%
SRR957444	21916416	100	17474027	79.73%	99.57	5068591	4778983	4963246	93715	3182	8448	0.20%	0.00%	1.45	0.01%	1.24	1438111	6.56%	1176255	5.37%	0.00%	7.75%	0.59%	0	0.00%
SRR957445	27252374	100	24744104	90.80%	99.6	8271223	7943506	8130083	120410	9269	11461	0.20%	0.00%	1.52	0.00%	1.22	1147682	4.21%	205884	0.76%	0.00%	4.11%	0.12%	0	0.00%
SRR957446	24259731	100	22000627	90.69%	99.59	7404607	7115139	7280160	105492	8467	10488	0.20%	0.00%	1.5	0.00%	1.24	1028546	4.24%	146466	0.60%	0.00%	4.36%	0.11%	0	0.00%
SRR957447	17690157	100	13886163	78.50%	99.48	4794161	4603357	4711427	69820	5788	7126	0.22%	0.00%	1.52	0.00%	1.24	659495	3.73%	95733	0.54%	0.00%	17.14%	0.09%	0	0.00%
SRR957448	26746096	100	22707423	84.90%	99.51	8079719	7780848	7944466	113294	10156	11803	0.20%	0.00%	1.52	0.00%	1.25	1053981	3.94%	125092	0.47%	0.00%	10.61%	0.08%	0	0.00%
SRR957449	27161974	100	23139310	85.19%	99.56	8106903	7808927	7971278	113530	9744	12351	0.20%	0.00%	1.53	0.00%	1.25	1077431	3.97%	1265791	4.66%	0.00%	5.66%	0.52%	0	0.00%
SRR957450	29296140	100	26200383	89.43%	99.59	8842390	8504213	8692057	126924	10752	12657	0.21%	0.00%	1.51	0.00%	1.23	1225564	4.18%	885597	3.02%	0.00%	3.03%	0.33%	0	0.00%
SRR957451	24907859	100	19592144	78.66%	99.61	6702550	6491666	6607695	80316	6169	8370	0.22%	0.00%	1.44	0.00%	1.2	1014621	4.07%	2162129	8.68%	0.00%	7.88%	0.71%	0	0.00%
SRR957452	25096136	100	18575461	74.02%	99.61	5489892	5307862	5414607	62611	4378	8296	0.24%	0.00%	1.46	0.00%	1.22	792693	3.16%	3900642	15.54%	0.00%	6.09%	1.19%	0	0.00%
SRR957453	23518174	100	19098429	81.21%	99.64	3546088	3345931	3492492	45469	2435	5692	0.20%	0.00%	1.46	0.01%	1.24	552499	2.35%	1190591	5.06%	0.00%	10.94%	0.44%	0	0.00%
SRR957454	26430685	100	20571968	77.83%	99.54	7094596	6879327	6993187	85859	6740	8810	0.21%	0.00%	1.44	0.00%	1.22	1001418	3.79%	276950	1.05%	0.00%	17.22%	0.11%	0	0.00%
SRR957455	21179476	100	19024989	89.83%	99.6	5515660	5312469	5442757	62340	4317	6246	0.21%	0.00%	1.46	0.01%	1.22	732701	3.46%	280850	1.33%	0.00%	5.26%	0.12%	0	0.00%
SRR957456	23819095	100	18406401	77.28%	99.63	3445609	3265768	3393654	44683	2211	5061	0.20%	0.00%	1.49	0.01%	1.25	508261	2.13%	281757	1.18%	0.00%	19.29%	0.12%	0	0.00%
SRR957457	25235171	100	21015870	83.28%	99.58	7332325	7109215	7229351	87168	7274	8532	0.20%	0.00%	1.44	0.00%	1.22	1035246	4.10%	257738	1.02%	0.00%	11.48%	0.12%	0	0.00%
SRR957458	23098702	100	14147115	61.25%	99.58	4324927	4185182	4263860	49791	3502	7774	0.22%	0.00%	1.45	0.00%	1.22	676023	2.93%	4633581	20.06%	0.00%	14.12%	1.64%	0	0.00%
SRR957459	16084431	100	4206556	26.15%	99.49	855278	809200	839959	10972	628	3719	0.33%	0.00%	1.47	0.01%	1.26	190772	1.19%	3339093	20.76%	0.00%	50.09%	1.81%	0	0.00%
SRR957460	27824217	100	22528251	80.97%	99.57	6806071	6602933	6709583	80318	5701	10469	0.22%	0.00%	1.48	0.00%	1.25	957127	3.44%	2608443	9.37%	0.00%	5.37%	0.84%	0	0.00%
SRR957461	26344210	100	21958938	83.35%	99.61	6687158	6492628	6592167	80661	5272	9058	0.22%	0.00%	1.46	0.00%	1.23	891262	3.38%	1421306	5.40%	0.00%	7.40%	0.47%	0	0.00%
