Accession	Reads	Surviving	Surviving%	Dropped	Dropped%
SRR957415	33974745	33737396	99.30%	237349	0.70%
SRR957416	33146885	32946963	99.40%	199922	0.60%
SRR957417	34620400	34445242	99.49%	175158	0.51%
SRR957418	21908704	20785545	94.87%	1123159	5.13%
SRR957419	21154911	20321908	96.06%	833003	3.94%
SRR957420	15145587	12908038	85.23%	2237549	14.77%
SRR957421	20475682	16803838	82.07%	3671844	17.93%
SRR957422	22450336	19503649	86.87%	2946687	13.13%
SRR957423	27178641	26327422	96.87%	851219	3.13%
SRR957424	26569994	25554300	96.18%	1015694	3.82%
SRR957425	23790586	22982285	96.60%	808301	3.40%
SRR957426	23421576	22409811	95.68%	1011765	4.32%
SRR957427	22367166	21487522	96.07%	879644	3.93%
SRR957428	21212846	20845004	98.27%	367842	1.73%
SRR957429	22851558	21827486	95.52%	1024072	4.48%
SRR957430	24481942	22979981	93.87%	1501961	6.13%
SRR957431	25735688	24528502	95.31%	1207186	4.69%
SRR957432	19096768	16536343	86.59%	2560425	13.41%
SRR957433	33351230	32962207	98.83%	389023	1.17%
SRR957434	33646352	33450570	99.42%	195782	0.58%
SRR957435	33971845	33769594	99.40%	202251	0.60%
SRR957436	18657758	17368479	93.09%	1289279	6.91%
SRR957437	19626903	17463033	88.97%	2163870	11.03%
SRR957438	22433479	21488498	95.79%	944981	4.21%
SRR957439	22717651	20811315	91.61%	1906336	8.39%
SRR957440	23331686	20539668	88.03%	2792018	11.97%
SRR957441	46059806	41399026	89.88%	4660780	10.12%
SRR957442	20434594	18795487	91.98%	1639107	8.02%
SRR957443	26408022	25242275	95.59%	1165747	4.41%
SRR957444	21916416	20579757	93.90%	1336659	6.10%
SRR957445	27252374	26347305	96.68%	905069	3.32%
SRR957446	24259731	23411159	96.50%	848572	3.50%
SRR957447	17690157	15056893	85.11%	2633264	14.89%
SRR957448	26746096	24204838	90.50%	2541258	9.50%
SRR957449	27161974	25959405	95.57%	1202569	4.43%
SRR957450	29296140	28684478	97.91%	611662	2.09%
SRR957451	24907859	23257270	93.37%	1650589	6.63%
SRR957452	25096136	23964577	95.49%	1131559	4.51%
SRR957453	23518174	21258241	90.39%	2259933	9.61%
SRR957454	26430685	22202951	84.00%	4227734	16.00%
SRR957455	21179476	20337192	96.02%	842284	3.98%
SRR957456	23819095	19598852	82.28%	4220243	17.72%
SRR957457	25235171	22665046	89.82%	2570125	10.18%
SRR957458	23098702	20350351	88.10%	2748351	11.90%
SRR957459	16084431	8974629	55.80%	7109802	44.20%
SRR957460	27824217	26708519	95.99%	1115698	4.01%
SRR957461	26344210	24679053	93.68%	1665157	6.32%
SRR957462	27748895	26532922	95.62%	1215973	4.38%
SRR957463	25434710	23347355	91.79%	2087355	8.21%
SRR957464	27693928	24976860	90.19%	2717068	9.81%
SRR957465	29520529	26349381	89.26%	3171148	10.74%
SRR957466	30662732	29703493	96.87%	959239	3.13%
SRR957467	29911225	28490198	95.25%	1421027	4.75%
SRR957468	30484162	29348231	96.27%	1135931	3.73%
SRR957469	26033855	25093228	96.39%	940627	3.61%
SRR957470	21843496	19721668	90.29%	2121828	9.71%
SRR957471	14416283	8329527	57.78%	6086756	42.22%
SRR957472	17739708	8471575	47.75%	9268133	52.25%
SRR957473	20637844	16100554	78.01%	4537290	21.99%
SRR957474	23132075	21266571	91.94%	1865504	8.06%
SRR957475	25545711	23191781	90.79%	2353930	9.21%
SRR957476	24580159	23334794	94.93%	1245365	5.07%
SRR957477	26940355	25477415	94.57%	1462940	5.43%
SRR957478	24874762	23270967	93.55%	1603795	6.45%
SRR957479	22424620	21439850	95.61%	984770	4.39%
SRR957480	27739041	25922302	93.45%	1816739	6.55%
SRR957481	27898523	23784757	85.25%	4113766	14.75%
SRR957482	28074423	25729902	91.65%	2344521	8.35%
